Sample,Plate,Row,Column,LABID,Miseq.num,tot.reads,tot.aligned.reads,median.aligned.reads.per.loc,gt.10.aligned,gt.20.aligned,X..on.target,AnimalID,Duplicate1,Duplicate2,Duplicate3,Herd,all.2021.data.herds,SEX.x,HAP,mito.haps,USE.x,GTseq.stratum,Optimization.sample,Main.run,Latitude.x,Longitude.x,YR.x,SOURCE.x,Contact,Notes,Permission.requested,Permission.received,Photo.Need.permission,Photo.Have.permission,FIELDID,Animal_ID,SOURCE.y,Collection_Method,CONTACT_NAME,Organization,Label,LAB,SpCode,SpType,Species_Type,SpName,Genus,Species,CommonName,USE.y,Restrict_Description,YR.y,MO,DA,Location,City,Island,County,State,Country,Latitude.y,Latitude_Precision,Latitude_Precision_Unit,Longitude.y,Longitude_Precision,Longitude_Precision_Unit,OBasin,Ocean_Basin,SEX.y,Gender_Determination,ACCESSIONDATE,GENBANK.,GENBANK1,GENBANK2,GENBANK3,COMMENTS,Record_Creation_Date,Edit_User,Edit_Date
z0195656_Mnov_MS51_n0028287_R1.fastq.gz,1,C,2,z0195656,28287,770,97,0,0,0,0.126,195656,NA,NA,NA,NA,NA,F,Aminus,NA,CCES,NA,NA,x,48.0146,-125.4192,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180707-ZIP-01,242628,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,7,,,,,,UNITED STATES OF AMERICA,48.0146,1e-04,DEGREE,-125.4192,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195657_Mnov_MS51_n0028288_R1.fastq.gz,1,D,2,z0195657,28288,5431,2584,3,61,13,0.476,195657,NA,NA,NA,NA,NA,M,Aplus,NA,CCES,NA,NA,x,48.0171,-125.416,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180707-ZIP-02,242629,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,7,,,,,,UNITED STATES OF AMERICA,48.0171,1e-04,DEGREE,-125.416,0.001,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195659_Mnov_MS51_n0028289_R1.fastq.gz,1,E,2,z0195659,28289,5910,2558,3,56,9,0.433,195659,NA,NA,NA,NA,NA,M,Aminus,NA,CCES,NA,NA,x,48.0211,-125.4069,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180707-ZIP-04,242631,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,7,,,,,,UNITED STATES OF AMERICA,48.0211,1e-04,DEGREE,-125.4069,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195662_Mnov_MS51_n0028290_R1.fastq.gz,1,F,2,z0195662,28290,236,20,0,0,0,0.085,195662,NA,NA,NA,NA,NA,F,E7,NA,CCES,NA,NA,x,48.0257,-125.2463,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180707-ZIP-07,242634,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,7,,,,,,UNITED STATES OF AMERICA,48.0257,1e-04,DEGREE,-125.2463,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195664_Mnov_MS51_n0028291_R1.fastq.gz,1,G,2,z0195664,28291,1483,469,1,1,1,0.316,195664,NA,NA,NA,NA,NA,F,Aplus,NA,CCES,NA,NA,x,47.9666,-125.4564,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180708-ZIP-02,242636,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,8,,,,,,UNITED STATES OF AMERICA,47.9666,1e-04,DEGREE,-125.4564,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195665_Mnov_MS51_n0028292_R1.fastq.gz,1,H,2,z0195665,28292,1721,417,1,1,1,0.242,195665,NA,NA,NA,NA,NA,F,E1_E11,NA,CCES,NA,NA,x,47.956,-125.5396,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180708-ZIP-03,242637,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,8,,,,,,UNITED STATES OF AMERICA,47.956,0.001,DEGREE,-125.5396,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195667_Mnov_MS51_n0028293_R1.fastq.gz,1,A,3,z0195667,28293,7612,4844,11,205,77,0.636,195667,NA,NA,NA,NA,NA,M,Aminus,NA,CCES,NA,NA,x,47.9556,-125.5388,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180708-ZIP-05,242639,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,8,,,,,,UNITED STATES OF AMERICA,47.9556,1e-04,DEGREE,-125.5388,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195668_Mnov_MS51_n0028294_R1.fastq.gz,1,B,3,z0195668,28294,5341,2952,5,92,12,0.553,195668,NA,NA,NA,NA,NA,F,Aminus,NA,CCES,NA,NA,x,47.9566,-125.5338,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180708-ZIP-06,242640,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,8,,,,,,UNITED STATES OF AMERICA,47.9566,1e-04,DEGREE,-125.5338,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195669_Mnov_MS51_n0028295_R1.fastq.gz,1,C,3,z0195669,28295,706,163,0,1,0,0.231,195669,NA,NA,NA,NA,NA,F,Aminus,NA,CCES,NA,NA,x,47.9553,-125.536,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180708-ZIP-07,242641,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,8,,,,,,UNITED STATES OF AMERICA,47.9553,1e-04,DEGREE,-125.536,0.001,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195670_Mnov_MS51_n0028296_R1.fastq.gz,1,D,3,z0195670,28296,1445,438,1,1,1,0.303,195670,NA,NA,NA,NA,NA,F,Aminus,NA,CCES,NA,NA,x,47.9459,-125.5459,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180708-ZIP-08,242642,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,8,,,,,,UNITED STATES OF AMERICA,47.9459,1e-04,DEGREE,-125.5459,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195671_Mnov_MS51_n0028297_R1.fastq.gz,1,E,3,z0195671,28297,942,306,0,1,1,0.325,195671,NA,NA,NA,NA,NA,F,Aplus,NA,CCES,NA,NA,x,47.9477,-125.5445,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180708-ZIP-09,242643,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,8,,,,,,UNITED STATES OF AMERICA,47.9477,1e-04,DEGREE,-125.5445,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195672_Mnov_MS51_n0028298_R1.fastq.gz,1,F,3,z0195672,28298,633,148,0,1,0,0.234,195672,NA,NA,NA,NA,NA,F,E1_E11,NA,CCES,NA,NA,x,47.9454,-125.5395,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180708-ZIP-10,242644,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,8,,,,,,UNITED STATES OF AMERICA,47.9454,1e-04,DEGREE,-125.5395,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195673_Mnov_MS51_n0028299_R1.fastq.gz,1,G,3,z0195673,28299,5352,2288,3,53,5,0.428,195673,NA,NA,NA,NA,NA,F,E4,NA,CCES,NA,NA,x,47.9655,-125.5435,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180708-ZIP-11,242645,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,8,,,,,,UNITED STATES OF AMERICA,47.9655,1e-04,DEGREE,-125.5435,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195674_Mnov_MS51_n0028300_R1.fastq.gz,1,H,3,z0195674,28300,761,110,0,1,0,0.145,195674,NA,NA,NA,NA,NA,F,Aminus,NA,CCES,NA,NA,x,47.924,-125.3161,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180708-ZIP-12,242646,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,8,,,,,,UNITED STATES OF AMERICA,47.924,0.001,DEGREE,-125.3161,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195675_Mnov_MS51_n0028301_R1.fastq.gz,1,A,4,z0195675,28301,3835,695,1,3,1,0.181,195675,NA,NA,NA,NA,NA,M,Aminus,NA,CCES,NA,NA,x,47.9167,-125.2453,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180708-ZIP-13,242647,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,8,,,,,,UNITED STATES OF AMERICA,47.9167,1e-04,DEGREE,-125.2453,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195677_Mnov_MS51_n0028302_R1.fastq.gz,1,B,4,z0195677,28302,13384,7579,12,202,113,0.566,195677,NA,NA,NA,NA,NA,M,Aplus,NA,CCES,NA,NA,x,47.957,-125.6333,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180709-ZIP-01,242649,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,9,,,,,,UNITED STATES OF AMERICA,47.957,0.001,DEGREE,-125.6333,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195678_Mnov_MS51_n0028303_R1.fastq.gz,1,C,4,z0195678,28303,2206,546,1,2,1,0.248,195678,NA,NA,NA,NA,NA,M,Aplus,NA,CCES,NA,NA,x,48.0102,-125.6281,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180709-ZIP-02,242650,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,9,,,,,,UNITED STATES OF AMERICA,48.0102,1e-04,DEGREE,-125.6281,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195679_Mnov_MS51_n0028304_R1.fastq.gz,1,D,4,z0195679,28304,836,134,0,1,1,0.16,195679,NA,NA,NA,NA,NA,M,Aplus,NA,CCES,NA,NA,x,48.0115,-125.6291,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180709-ZIP-03,242651,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,9,,,,,,UNITED STATES OF AMERICA,48.0115,1e-04,DEGREE,-125.6291,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195680_Mnov_MS51_n0028305_R1.fastq.gz,1,E,4,z0195680,28305,807,122,0,1,1,0.151,195680,NA,NA,NA,NA,NA,M,Aminus,NA,CCES,NA,NA,x,48.0194,-125.6284,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180709-ZIP-04,242652,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,9,,,,,,UNITED STATES OF AMERICA,48.0194,1e-04,DEGREE,-125.6284,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
