Plate,Row,Column,LABID,Miseq.num,fname
1,F,9,z0195763,28346,z0195763_Mnov_MS51_n0028346_R1.fastq.gz
1,G,9,z0195766,28347,z0195766_Mnov_MS51_n0028347_R1.fastq.gz
1,H,9,z0195769,28348,z0195769_Mnov_MS51_n0028348_R1.fastq.gz
1,A,10,z0195770,28349,z0195770_Mnov_MS51_n0028349_R1.fastq.gz
1,B,10,z0195771,28350,z0195771_Mnov_MS51_n0028350_R1.fastq.gz
1,C,10,z0195772,28351,z0195772_Mnov_MS51_n0028351_R1.fastq.gz
1,D,10,z0195773,28352,z0195773_Mnov_MS51_n0028352_R1.fastq.gz
1,E,10,z0195775,28353,z0195775_Mnov_MS51_n0028353_R1.fastq.gz
1,F,10,z0195776,28354,z0195776_Mnov_MS51_n0028354_R1.fastq.gz
1,G,10,z0195777,28355,z0195777_Mnov_MS51_n0028355_R1.fastq.gz
1,H,10,z0195778,28356,z0195778_Mnov_MS51_n0028356_R1.fastq.gz
1,A,11,z0195779,28357,z0195779_Mnov_MS51_n0028357_R1.fastq.gz
1,B,11,z0195780,28358,z0195780_Mnov_MS51_n0028358_R1.fastq.gz
1,C,11,z0195781,28359,z0195781_Mnov_MS51_n0028359_R1.fastq.gz
1,D,11,z0195782,28360,z0195782_Mnov_MS51_n0028360_R1.fastq.gz
1,E,11,z0195786,28361,z0195786_Mnov_MS51_n0028361_R1.fastq.gz
1,F,11,z0195787,28362,z0195787_Mnov_MS51_n0028362_R1.fastq.gz
1,G,11,z0195791,28363,z0195791_Mnov_MS51_n0028363_R1.fastq.gz
1,H,11,z0195645,28364,z0195645_Mnov_MS51_n0028364_R1.fastq.gz
1,A,12,z0195653,28365,z0195653_Mnov_MS51_n0028365_R1.fastq.gz
1,B,12,z0195662,28366,z0195662_Mnov_MS51_n0028366_R1.fastq.gz
1,C,12,z0195674,28367,z0195674_Mnov_MS51_n0028367_R1.fastq.gz
1,D,12,z0195686,28368,z0195686_Mnov_MS51_n0028368_R1.fastq.gz
1,E,12,z0195713,28369,z0195713_Mnov_MS51_n0028369_R1.fastq.gz
1,F,12,z0195742,28370,z0195742_Mnov_MS51_n0028370_R1.fastq.gz
1,G,12,z0195769,28371,z0195769_Mnov_MS51_n0028371_R1.fastq.gz
1,H,12,z0195779,28372,z0195779_Mnov_MS51_n0028372_R1.fastq.gz
2,A,1,z0196707,28373,z0196707_Mnov_MS51_n0028373_R1.fastq.gz
2,B,1,z0196708,28374,z0196708_Mnov_MS51_n0028374_R1.fastq.gz
2,C,1,z0196709,28375,z0196709_Mnov_MS51_n0028375_R1.fastq.gz
2,D,1,z0196714,28376,z0196714_Mnov_MS51_n0028376_R1.fastq.gz
2,E,1,z0196718,28377,z0196718_Mnov_MS51_n0028377_R1.fastq.gz
2,F,1,z0196721,28378,z0196721_Mnov_MS51_n0028378_R1.fastq.gz
2,G,1,z0196722,28379,z0196722_Mnov_MS51_n0028379_R1.fastq.gz
2,H,1,z0196723,28380,z0196723_Mnov_MS51_n0028380_R1.fastq.gz
2,A,2,z0196726,28381,z0196726_Mnov_MS51_n0028381_R1.fastq.gz
2,B,2,z0196727,28382,z0196727_Mnov_MS51_n0028382_R1.fastq.gz
2,C,2,z0196728,28383,z0196728_Mnov_MS51_n0028383_R1.fastq.gz
2,D,2,z0196732,28384,z0196732_Mnov_MS51_n0028384_R1.fastq.gz
2,E,2,z0196737,28385,z0196737_Mnov_MS51_n0028385_R1.fastq.gz
2,F,2,z0196738,28386,z0196738_Mnov_MS51_n0028386_R1.fastq.gz
2,G,2,z0196741,28387,z0196741_Mnov_MS51_n0028387_R1.fastq.gz
2,H,2,z0196742,28388,z0196742_Mnov_MS51_n0028388_R1.fastq.gz
2,A,3,z0196743,28389,z0196743_Mnov_MS51_n0028389_R1.fastq.gz
2,B,3,z0196744,28390,z0196744_Mnov_MS51_n0028390_R1.fastq.gz
2,C,3,z0196747,28391,z0196747_Mnov_MS51_n0028391_R1.fastq.gz
2,D,3,z0196748,28392,z0196748_Mnov_MS51_n0028392_R1.fastq.gz
2,E,3,z0196749,28393,z0196749_Mnov_MS51_n0028393_R1.fastq.gz
2,F,3,z0196750,28394,z0196750_Mnov_MS51_n0028394_R1.fastq.gz
2,G,3,z0196755,28395,z0196755_Mnov_MS51_n0028395_R1.fastq.gz
2,H,3,z0196756,28396,z0196756_Mnov_MS51_n0028396_R1.fastq.gz
2,A,4,z0196757,28397,z0196757_Mnov_MS51_n0028397_R1.fastq.gz
2,B,4,z0196759,28398,z0196759_Mnov_MS51_n0028398_R1.fastq.gz
2,C,4,z0196761,28399,z0196761_Mnov_MS51_n0028399_R1.fastq.gz
2,D,4,z0196762,28400,z0196762_Mnov_MS51_n0028400_R1.fastq.gz
2,E,4,z0196765,28401,z0196765_Mnov_MS51_n0028401_R1.fastq.gz
2,F,4,z0196767,28402,z0196767_Mnov_MS51_n0028402_R1.fastq.gz
2,G,4,z0196768,28403,z0196768_Mnov_MS51_n0028403_R1.fastq.gz
2,H,4,z0196770,28404,z0196770_Mnov_MS51_n0028404_R1.fastq.gz
2,A,5,z0196772,28405,z0196772_Mnov_MS51_n0028405_R1.fastq.gz
2,B,5,z0196773,28406,z0196773_Mnov_MS51_n0028406_R1.fastq.gz
2,C,5,z0196775,28407,z0196775_Mnov_MS51_n0028407_R1.fastq.gz
2,D,5,z0196777,28408,z0196777_Mnov_MS51_n0028408_R1.fastq.gz
2,E,5,z0196778,28409,z0196778_Mnov_MS51_n0028409_R1.fastq.gz
2,F,5,z0196781,28410,z0196781_Mnov_MS51_n0028410_R1.fastq.gz
2,G,5,z0196793,28411,z0196793_Mnov_MS51_n0028411_R1.fastq.gz
2,H,5,z0196800,28412,z0196800_Mnov_MS51_n0028412_R1.fastq.gz
2,A,6,z0196805,28413,z0196805_Mnov_MS51_n0028413_R1.fastq.gz
2,B,6,z0196806,28414,z0196806_Mnov_MS51_n0028414_R1.fastq.gz
2,C,6,z0196812,28415,z0196812_Mnov_MS51_n0028415_R1.fastq.gz
2,D,6,z0196826,28416,z0196826_Mnov_MS51_n0028416_R1.fastq.gz
2,E,6,z0196830,28417,z0196830_Mnov_MS51_n0028417_R1.fastq.gz
2,F,6,z0196831,28418,z0196831_Mnov_MS51_n0028418_R1.fastq.gz
2,G,6,z0196832,28419,z0196832_Mnov_MS51_n0028419_R1.fastq.gz
2,H,6,z0196833,28420,z0196833_Mnov_MS51_n0028420_R1.fastq.gz
2,A,7,z0196839,28421,z0196839_Mnov_MS51_n0028421_R1.fastq.gz
2,B,7,z0196840,28422,z0196840_Mnov_MS51_n0028422_R1.fastq.gz
2,C,7,z0196842,28423,z0196842_Mnov_MS51_n0028423_R1.fastq.gz
2,D,7,z0196844,28424,z0196844_Mnov_MS51_n0028424_R1.fastq.gz
2,E,7,z0196845,28425,z0196845_Mnov_MS51_n0028425_R1.fastq.gz
2,F,7,z0196846,28426,z0196846_Mnov_MS51_n0028426_R1.fastq.gz
2,G,7,z0196847,28427,z0196847_Mnov_MS51_n0028427_R1.fastq.gz
2,H,7,z0196848,28428,z0196848_Mnov_MS51_n0028428_R1.fastq.gz
2,A,8,z0196850,28429,z0196850_Mnov_MS51_n0028429_R1.fastq.gz
2,B,8,z0196851,28430,z0196851_Mnov_MS51_n0028430_R1.fastq.gz
2,C,8,z0196854,28431,z0196854_Mnov_MS51_n0028431_R1.fastq.gz
2,D,8,z0196858,28432,z0196858_Mnov_MS51_n0028432_R1.fastq.gz
2,E,8,z0196859,28433,z0196859_Mnov_MS51_n0028433_R1.fastq.gz
2,F,8,z0196860,28434,z0196860_Mnov_MS51_n0028434_R1.fastq.gz
2,G,8,z0196861,28435,z0196861_Mnov_MS51_n0028435_R1.fastq.gz
2,H,8,z0196862,28436,z0196862_Mnov_MS51_n0028436_R1.fastq.gz
2,A,9,z0196863,28437,z0196863_Mnov_MS51_n0028437_R1.fastq.gz
2,B,9,z0196865,28438,z0196865_Mnov_MS51_n0028438_R1.fastq.gz
2,C,9,z0196886,28439,z0196886_Mnov_MS51_n0028439_R1.fastq.gz
2,D,9,z0196887,28440,z0196887_Mnov_MS51_n0028440_R1.fastq.gz
2,E,9,z0196888,28441,z0196888_Mnov_MS51_n0028441_R1.fastq.gz
2,F,9,z0196889,28442,z0196889_Mnov_MS51_n0028442_R1.fastq.gz
2,G,9,z0196891,28443,z0196891_Mnov_MS51_n0028443_R1.fastq.gz
2,H,9,z0196892,28444,z0196892_Mnov_MS51_n0028444_R1.fastq.gz
2,A,10,z0196895,28445,z0196895_Mnov_MS51_n0028445_R1.fastq.gz
2,B,10,z0197659,28446,z0197659_Mnov_MS51_n0028446_R1.fastq.gz
2,C,10,z0197660,28447,z0197660_Mnov_MS51_n0028447_R1.fastq.gz
2,D,10,z0197671,28448,z0197671_Mnov_MS51_n0028448_R1.fastq.gz
2,E,10,z0197673,28449,z0197673_Mnov_MS51_n0028449_R1.fastq.gz
2,F,10,z0197679,28450,z0197679_Mnov_MS51_n0028450_R1.fastq.gz
2,G,10,z0011944,28451,z0011944_Mnov_MS51_n0028451_R1.fastq.gz
2,H,10,z0016578,28452,z0016578_Mnov_MS51_n0028452_R1.fastq.gz
2,A,11,z0018264,28453,z0018264_Mnov_MS51_n0028453_R1.fastq.gz
2,B,11,z0029829,28454,z0029829_Mnov_MS51_n0028454_R1.fastq.gz
2,C,11,z0029846,28455,z0029846_Mnov_MS51_n0028455_R1.fastq.gz
2,D,11,z0029863,28456,z0029863_Mnov_MS51_n0028456_R1.fastq.gz
2,E,11,z0029864,28457,z0029864_Mnov_MS51_n0028457_R1.fastq.gz
2,F,11,z0029867,28458,z0029867_Mnov_MS51_n0028458_R1.fastq.gz
2,G,11,z0037611,28459,z0037611_Mnov_MS51_n0028459_R1.fastq.gz
2,H,11,z0196728,28460,z0196728_Mnov_MS51_n0028460_R1.fastq.gz
2,A,12,z0196755,28461,z0196755_Mnov_MS51_n0028461_R1.fastq.gz
2,B,12,z0196762,28462,z0196762_Mnov_MS51_n0028462_R1.fastq.gz
2,C,12,z0196833,28463,z0196833_Mnov_MS51_n0028463_R1.fastq.gz
2,D,12,z0196839,28464,z0196839_Mnov_MS51_n0028464_R1.fastq.gz
2,E,12,z0196854,28465,z0196854_Mnov_MS51_n0028465_R1.fastq.gz
2,F,12,z0196889,28466,z0196889_Mnov_MS51_n0028466_R1.fastq.gz
2,G,12,z0197671,28467,z0197671_Mnov_MS51_n0028467_R1.fastq.gz
2,H,12,z0029846,28468,z0029846_Mnov_MS51_n0028468_R1.fastq.gz
3,A,1,z0037624,28469,z0037624_Mnov_MS51_n0028469_R1.fastq.gz
3,B,1,z0045331,28470,z0045331_Mnov_MS51_n0028470_R1.fastq.gz
3,C,1,z0045332,28471,z0045332_Mnov_MS51_n0028471_R1.fastq.gz
3,D,1,z0045333,28472,z0045333_Mnov_MS51_n0028472_R1.fastq.gz
3,E,1,z0045337,28473,z0045337_Mnov_MS51_n0028473_R1.fastq.gz
3,F,1,z0045342,28474,z0045342_Mnov_MS51_n0028474_R1.fastq.gz
3,G,1,z0045350,28475,z0045350_Mnov_MS51_n0028475_R1.fastq.gz
3,H,1,z0045401,28476,z0045401_Mnov_MS51_n0028476_R1.fastq.gz
3,A,2,z0045792,28477,z0045792_Mnov_MS51_n0028477_R1.fastq.gz
3,B,2,z0051185,28478,z0051185_Mnov_MS51_n0028478_R1.fastq.gz
3,C,2,z0051324,28479,z0051324_Mnov_MS51_n0028479_R1.fastq.gz
3,D,2,z0051326,28480,z0051326_Mnov_MS51_n0028480_R1.fastq.gz
3,E,2,z0051328,28481,z0051328_Mnov_MS51_n0028481_R1.fastq.gz
3,F,2,z0051380,28482,z0051380_Mnov_MS51_n0028482_R1.fastq.gz
3,G,2,z0051891,28483,z0051891_Mnov_MS51_n0028483_R1.fastq.gz
3,H,2,z0051893,28484,z0051893_Mnov_MS51_n0028484_R1.fastq.gz
3,A,3,z0051929,28485,z0051929_Mnov_MS51_n0028485_R1.fastq.gz
3,B,3,z0051947,28486,z0051947_Mnov_MS51_n0028486_R1.fastq.gz
3,C,3,z0053754,28487,z0053754_Mnov_MS51_n0028487_R1.fastq.gz
3,D,3,z0053756,28488,z0053756_Mnov_MS51_n0028488_R1.fastq.gz
3,E,3,z0053757,28489,z0053757_Mnov_MS51_n0028489_R1.fastq.gz
3,F,3,z0053758,28490,z0053758_Mnov_MS51_n0028490_R1.fastq.gz
3,G,3,z0053759,28491,z0053759_Mnov_MS51_n0028491_R1.fastq.gz
3,H,3,z0053760,28492,z0053760_Mnov_MS51_n0028492_R1.fastq.gz
3,A,4,z0053842,28493,z0053842_Mnov_MS51_n0028493_R1.fastq.gz
3,B,4,z0053843,28494,z0053843_Mnov_MS51_n0028494_R1.fastq.gz
3,C,4,z0053844,28495,z0053844_Mnov_MS51_n0028495_R1.fastq.gz
3,D,4,z0053845,28496,z0053845_Mnov_MS51_n0028496_R1.fastq.gz
3,E,4,z0053846,28497,z0053846_Mnov_MS51_n0028497_R1.fastq.gz
3,F,4,z0053847,28498,z0053847_Mnov_MS51_n0028498_R1.fastq.gz
3,G,4,z0053849,28499,z0053849_Mnov_MS51_n0028499_R1.fastq.gz
3,H,4,z0056374,28500,z0056374_Mnov_MS51_n0028500_R1.fastq.gz
3,A,5,z0056375,28501,z0056375_Mnov_MS51_n0028501_R1.fastq.gz
3,B,5,z0056377,28502,z0056377_Mnov_MS51_n0028502_R1.fastq.gz
3,C,5,z0056378,28503,z0056378_Mnov_MS51_n0028503_R1.fastq.gz
3,D,5,z0056380,28504,z0056380_Mnov_MS51_n0028504_R1.fastq.gz
3,E,5,z0056382,28505,z0056382_Mnov_MS51_n0028505_R1.fastq.gz
3,F,5,z0056384,28506,z0056384_Mnov_MS51_n0028506_R1.fastq.gz
3,G,5,z0056386,28507,z0056386_Mnov_MS51_n0028507_R1.fastq.gz
3,H,5,z0056389,28508,z0056389_Mnov_MS51_n0028508_R1.fastq.gz
3,A,6,z0056391,28509,z0056391_Mnov_MS51_n0028509_R1.fastq.gz
3,B,6,z0056392,28510,z0056392_Mnov_MS51_n0028510_R1.fastq.gz
3,C,6,z0056393,28511,z0056393_Mnov_MS51_n0028511_R1.fastq.gz
3,D,6,z0056394,28512,z0056394_Mnov_MS51_n0028512_R1.fastq.gz
3,E,6,z0056395,28513,z0056395_Mnov_MS51_n0028513_R1.fastq.gz
3,F,6,z0056396,28514,z0056396_Mnov_MS51_n0028514_R1.fastq.gz
3,G,6,z0056397,28515,z0056397_Mnov_MS51_n0028515_R1.fastq.gz
3,H,6,z0056399,28516,z0056399_Mnov_MS51_n0028516_R1.fastq.gz
3,A,7,z0061973,28517,z0061973_Mnov_MS51_n0028517_R1.fastq.gz
3,B,7,z0061976,28518,z0061976_Mnov_MS51_n0028518_R1.fastq.gz
3,C,7,z0061980,28519,z0061980_Mnov_MS51_n0028519_R1.fastq.gz
3,D,7,z0066792,28520,z0066792_Mnov_MS51_n0028520_R1.fastq.gz
3,E,7,z0066805,28521,z0066805_Mnov_MS51_n0028521_R1.fastq.gz
3,F,7,z0101084,28522,z0101084_Mnov_MS51_n0028522_R1.fastq.gz
3,G,7,z0101085,28523,z0101085_Mnov_MS51_n0028523_R1.fastq.gz
3,H,7,z0107101,28524,z0107101_Mnov_MS51_n0028524_R1.fastq.gz
3,A,8,z0108489,28525,z0108489_Mnov_MS51_n0028525_R1.fastq.gz
3,B,8,z0108513,28526,z0108513_Mnov_MS51_n0028526_R1.fastq.gz
3,C,8,z0133302,28527,z0133302_Mnov_MS51_n0028527_R1.fastq.gz
3,D,8,z0173485,28528,z0173485_Mnov_MS51_n0028528_R1.fastq.gz
3,E,8,z0175912,28529,z0175912_Mnov_MS51_n0028529_R1.fastq.gz
3,F,8,z0175916,28530,z0175916_Mnov_MS51_n0028530_R1.fastq.gz
3,G,8,z0175937,28531,z0175937_Mnov_MS51_n0028531_R1.fastq.gz
3,H,8,z0178294,28532,z0178294_Mnov_MS51_n0028532_R1.fastq.gz
3,A,9,z0178305,28533,z0178305_Mnov_MS51_n0028533_R1.fastq.gz
3,B,9,z0178348,28534,z0178348_Mnov_MS51_n0028534_R1.fastq.gz
3,C,9,z0187857,28535,z0187857_Mnov_MS51_n0028535_R1.fastq.gz
3,D,9,z0187860,28536,z0187860_Mnov_MS51_n0028536_R1.fastq.gz
3,E,9,z0187906,28537,z0187906_Mnov_MS51_n0028537_R1.fastq.gz
3,F,9,z0187911,28538,z0187911_Mnov_MS51_n0028538_R1.fastq.gz
3,G,9,z0195726,28539,z0195726_Mnov_MS51_n0028539_R1.fastq.gz
3,H,9,z0196730,28540,z0196730_Mnov_MS51_n0028540_R1.fastq.gz
3,A,10,z0196733,28541,z0196733_Mnov_MS51_n0028541_R1.fastq.gz
3,B,10,z0196736,28542,z0196736_Mnov_MS51_n0028542_R1.fastq.gz
3,C,10,z0196746,28543,z0196746_Mnov_MS51_n0028543_R1.fastq.gz
3,D,10,z0196758,28544,z0196758_Mnov_MS51_n0028544_R1.fastq.gz
3,E,10,z0196783,28545,z0196783_Mnov_MS51_n0028545_R1.fastq.gz
3,F,10,z0196794,28546,z0196794_Mnov_MS51_n0028546_R1.fastq.gz
3,G,10,z0196804,28547,z0196804_Mnov_MS51_n0028547_R1.fastq.gz
3,H,10,z0196810,28548,z0196810_Mnov_MS51_n0028548_R1.fastq.gz
3,A,11,z0196811,28549,z0196811_Mnov_MS51_n0028549_R1.fastq.gz
3,B,11,z0196838,28550,z0196838_Mnov_MS51_n0028550_R1.fastq.gz
3,C,11,z0197662,28551,z0197662_Mnov_MS51_n0028551_R1.fastq.gz
3,D,11,z0197665,28552,z0197665_Mnov_MS51_n0028552_R1.fastq.gz
3,E,11,z0040334,28553,z0040334_Mnov_MS51_n0028553_R1.fastq.gz
3,F,11,z0040345,28554,z0040345_Mnov_MS51_n0028554_R1.fastq.gz
3,G,11,z0040363,28555,z0040363_Mnov_MS51_n0028555_R1.fastq.gz
3,H,11,z0045350,28556,z0045350_Mnov_MS51_n0028556_R1.fastq.gz
3,A,12,z0051324,28557,z0051324_Mnov_MS51_n0028557_R1.fastq.gz
3,B,12,z0053757,28558,z0053757_Mnov_MS51_n0028558_R1.fastq.gz
3,C,12,z0056378,28559,z0056378_Mnov_MS51_n0028559_R1.fastq.gz
3,D,12,z0066792,28560,z0066792_Mnov_MS51_n0028560_R1.fastq.gz
3,E,12,z0175937,28561,z0175937_Mnov_MS51_n0028561_R1.fastq.gz
3,F,12,z0187860,28562,z0187860_Mnov_MS51_n0028562_R1.fastq.gz
3,G,12,z0196736,28563,z0196736_Mnov_MS51_n0028563_R1.fastq.gz
3,H,12,z0040345,28564,z0040345_Mnov_MS51_n0028564_R1.fastq.gz
4,A,1,z0040985,,
4,B,1,z0041519,,
4,C,1,z0040961,,
4,D,1,z0041051,,
4,E,1,z0041243,,
4,F,1,z0041250,,
4,G,1,z0043243,,
4,H,1,z0043747,,
4,A,2,z0043789,,
4,B,2,z0043807,,
4,C,2,z0043819,,
4,D,2,z0043876,,
4,E,2,z0043877,,
4,F,2,z0043915,,
4,G,2,z0047854,,
4,H,2,z0040275,,
4,A,3,z0040287,,
4,B,3,z0041233,,
4,C,3,z0041248,,
4,D,3,z0043267,,
4,E,3,z0043278,,
4,F,3,z0043566,,
4,G,3,z0043572,,
4,H,3,z0043599,,
4,A,4,z0043631,,
4,B,4,z0043642,,
4,C,4,z0043649,,
4,D,4,z0043652,,
4,E,4,z0043668,,
4,F,4,z0043684,,
4,G,4,z0043686,,
4,H,4,z0043693,,
4,A,5,z0043704,,
4,B,5,z0043898,,
4,C,5,z0043905,,
4,D,5,z0043934,,
4,E,5,z0043940,,
4,F,5,z0043954,,
4,G,5,z0043966,,
4,H,5,z0043980,,
4,A,6,z0044432,,
4,B,6,z0047562,,
4,C,6,z0047601,,
4,D,6,z0047602,,
4,E,6,z0047613,,
4,F,6,z0040308,,
4,G,6,z0040333,,
4,H,6,z0040357,,
4,A,7,z0040364,,
4,B,7,z0040377,,
4,C,7,z0040387,,
4,D,7,z0040403,,
4,E,7,z0040439,,
4,F,7,z0040451,,
4,G,7,z0040465,,
4,H,7,z0040960,,
4,A,8,z0041026,,
4,B,8,z0041072,,
4,C,8,z0041115,,
4,D,8,z0041145,,
4,E,8,z0041153,,
4,F,8,z0041174,,
4,G,8,z0041274,,
4,H,8,z0041465,,
4,A,9,z0041472,,
4,B,9,z0041480,,
4,C,9,z0041483,,
4,D,9,z0041494,,
4,E,9,z0041498,,
4,F,9,z0041501,,
4,G,9,z0041507,,
4,H,9,z0041512,,
4,A,10,z0041514,,
4,B,10,z0041522,,
4,C,10,z0041527,,
4,D,10,z0043468,,
4,E,10,z0043477,,
4,F,10,z0043478,,
4,G,10,z0043481,,
4,H,10,z0043487,,
4,A,11,z0043488,,
4,B,11,z0043489,,
4,C,11,z0043491,,
4,D,11,z0043493,,
4,E,11,z0043494,,
4,F,11,z0043496,,
4,G,11,z0043498,,
4,H,11,z0051888,,
4,A,12,z0061982,,
4,B,12,z0175378,,
4,C,12,z0187885,,
4,D,12,z0041248,,
4,E,12,z0043940,,
4,F,12,z0040960,,
4,G,12,z0041472,,
4,H,12,z0043489,,
5,A,1,z0043504,,
5,B,1,z0043513,,
5,C,1,z0044017,,
5,D,1,z0044019,,
5,E,1,z0044023,,
5,F,1,z0044033,,
5,G,1,z0044042,,
5,H,1,z0044044,,
5,A,2,z0044047,,
5,B,2,z0044059,,
5,C,2,z0044064,,
5,D,2,z0045719,,
5,E,2,z0045720,,
5,F,2,z0045728,,
5,G,2,z0045731,,
5,H,2,z0045733,,
5,A,3,z0045736,,
5,B,3,z0045739,,
5,C,3,z0045740,,
5,D,3,z0045741,,
5,E,3,z0045742,,
5,F,3,z0045779,,
5,G,3,z0045781,,
5,H,3,z0052882,,
